dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	LSD	IQ-TREE	country	BW	2	5	-0.42857142857142855
locrisk260.1	LSD	IQ-TREE	country	CN	1	1	0
locrisk260.1	LSD	IQ-TREE	country	DE	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	DK	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	ES	1	5	-0.6666666666666666
locrisk260.1	LSD	IQ-TREE	country	ET	1	3	-0.5
locrisk260.1	LSD	IQ-TREE	country	GE	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	IL	0	4	-1
locrisk260.1	LSD	IQ-TREE	country	IN	3	3	0
locrisk260.1	LSD	IQ-TREE	country	KE	1	5	-0.6666666666666666
locrisk260.1	LSD	IQ-TREE	country	MM	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	MW	3	10	-0.5384615384615384
locrisk260.1	LSD	IQ-TREE	country	NG	0	2	-1
locrisk260.1	LSD	IQ-TREE	country	NP	1	1	0
locrisk260.1	LSD	IQ-TREE	country	PK	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	SE	14	7	0.3333333333333333
locrisk260.1	LSD	IQ-TREE	country	SN	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	SO	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	TH	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	TZ	5	12	-0.4117647058823529
locrisk260.1	LSD	IQ-TREE	country	US	0	2	-1
locrisk260.1	LSD	IQ-TREE	country	UY	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	YE	0	1	-1
locrisk260.1	LSD	IQ-TREE	country	ZA	30	9	0.5384615384615384
locrisk260.1	LSD	IQ-TREE	country	ZM	30	11	0.4634146341463415
locrisk260.1	LSD	IQ-TREE	region	Eastern Africa	51	4	0.8545454545454545
locrisk260.1	LSD	IQ-TREE	region	Eastern Asia	1	1	0
locrisk260.1	LSD	IQ-TREE	region	Eastern Europe	0	1	-1
locrisk260.1	LSD	IQ-TREE	region	Northern America	0	2	-1
locrisk260.1	LSD	IQ-TREE	region	Northern Europe	9	10	-0.05263157894736842
locrisk260.1	LSD	IQ-TREE	region	South	0	2	-1
locrisk260.1	LSD	IQ-TREE	region	South America	1	1	0
locrisk260.1	LSD	IQ-TREE	region	Southern Africa	3	27	-0.8
locrisk260.1	LSD	IQ-TREE	region	Southern Asia	2	3	-0.2
locrisk260.1	LSD	IQ-TREE	region	Southern Europe	1	5	-0.6666666666666666
locrisk260.1	LSD	IQ-TREE	region	Western Africa	0	3	-1
locrisk260.1	LSD	IQ-TREE	region	Western Asia	0	6	-1
locrisk260.1	LSD	IQ-TREE	region	Western Europe	0	3	-1
locrisk260.1	LSD	IQ-TREE	risk4	OT	36	49	-0.15294117647058825
locrisk260.1	LSD	IQ-TREE	risk4	PI	3	2	0.2
locrisk260.1	LSD	IQ-TREE	risk4	SH	51	35	0.18604651162790697
locrisk260.1	LSD	IQ-TREE	risk4	SM	0	4	-1
locrisk260.1	LSD	IQ-TREE	risk5	MB	0	4	-1
locrisk260.1	LSD	IQ-TREE	risk5	OT	4	122	-0.9365079365079365
locrisk260.1	LSD	IQ-TREE	risk5	PI	3	2	0.2
locrisk260.1	LSD	IQ-TREE	risk5	SH	129	4	0.9398496240601504
locrisk260.1	LSD	IQ-TREE	risk5	SM	0	4	-1
locrisk260.1	LSD	IQ-TREE	risk6	MB	0	4	-1
locrisk260.1	LSD	IQ-TREE	risk6	NR	3	120	-0.9512195121951219
locrisk260.1	LSD	IQ-TREE	risk6	OT	10	12	-0.09090909090909091
locrisk260.1	LSD	IQ-TREE	risk6	PI	3	2	0.2
locrisk260.1	LSD	IQ-TREE	risk6	SH	130	4	0.9402985074626866
locrisk260.1	LSD	IQ-TREE	risk6	SM	0	4	-1
locrisk260.1	LSD	PhyML	continent	Africa	24	5	0.6551724137931034
locrisk260.1	LSD	PhyML	continent	Americas	1	3	-0.5
locrisk260.1	LSD	PhyML	continent	Asia	1	9	-0.8
locrisk260.1	LSD	PhyML	continent	Europe	10	19	-0.3103448275862069
locrisk260.1	LSD	PhyML	country	AR	0	1	-1
locrisk260.1	LSD	PhyML	country	BE	0	2	-1
