"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"MB",3,2,1,0,0.125,0.333333333333333,"locrisk260.1","FastTree"
"NR",6,2,4,1.5,0.2,0.666666666666667,"locrisk260.1","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk260.1","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk260.1","FastTree"
"SH",9,4,5,10.5,0.2,0.555555555555556,"locrisk260.1","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk260.1","FastTree"
"MB",1,1,0,0,0.111111111111111,0,"locrisk260.2","FastTree"
"NR",6,2,4,4,0.2,0.666666666666667,"locrisk260.2","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk260.2","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk260.2","FastTree"
"SH",7,3,4,6,0.166666666666667,0.571428571428571,"locrisk260.2","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk260.2","FastTree"
"MB",2,1,1,0,0.125,0.5,"locrisk260.3","FastTree"
"NR",7,2,5,4,0.2,0.714285714285714,"locrisk260.3","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk260.3","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk260.3","FastTree"
"SH",8,4,4,9,0.2,0.5,"locrisk260.3","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk260.3","FastTree"
"MB",2,1,1,0,0.125,0.5,"locrisk378.1","FastTree"
"NR",6,2,4,3,0.2,0.666666666666667,"locrisk378.1","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk378.1","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk378.1","FastTree"
"SH",7,3,4,6,0.2,0.571428571428571,"locrisk378.1","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk378.1","FastTree"
"MB",3,2,1,0,0.125,0.333333333333333,"locrisk378.2","FastTree"
"NR",7,2,5,1.5,0.2,0.714285714285714,"locrisk378.2","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk378.2","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk378.2","FastTree"
"SH",9,4,5,9.5,0.2,0.555555555555556,"locrisk378.2","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk378.2","FastTree"
"MB",3,2,1,0,0.125,0.333333333333333,"locrisk378.3","FastTree"
"NR",7,2,5,1.5,0.2,0.714285714285714,"locrisk378.3","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk378.3","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk378.3","FastTree"
"SH",8,3,5,5.5,0.2,0.625,"locrisk378.3","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk378.3","FastTree"
"MB",3,2,1,0,0.125,0.333333333333333,"locrisk468.1","FastTree"
"NR",6,2,4,1.5,0.2,0.666666666666667,"locrisk468.1","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk468.1","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk468.1","FastTree"
"SH",8,3,5,6.5,0.2,0.625,"locrisk468.1","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk468.1","FastTree"
"MB",2,2,0,0,0.125,0,"locrisk468.2","FastTree"
"NR",8,3,5,3,0.2,0.625,"locrisk468.2","FastTree"
"OT",4,2,2,0,0.125,0.5,"locrisk468.2","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk468.2","FastTree"
"SH",8,3,5,3,0.2,0.625,"locrisk468.2","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk468.2","FastTree"
"MB",4,2,2,0,0.125,0.5,"locrisk468.3","FastTree"
"NR",8,3,5,3,0.2,0.625,"locrisk468.3","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk468.3","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk468.3","FastTree"
"SH",8,3,5,3,0.2,0.625,"locrisk468.3","FastTree"
"SM",2,2,0,0,0.125,0,"locrisk468.3","FastTree"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk527.1","FastTree"
"NR",7,2,5,2.5,0.2,0.714285714285714,"locrisk527.1","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk527.1","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk527.1","FastTree"
"SH",6,2,4,1.5,0.2,0.666666666666667,"locrisk527.1","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.1","FastTree"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk527.2","FastTree"
"NR",7,2,5,1.5,0.2,0.714285714285714,"locrisk527.2","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk527.2","FastTree"
"PI",4,2,2,0,0.125,0.5,"locrisk527.2","FastTree"
"SH",8,3,5,5.5,0.2,0.625,"locrisk527.2","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.2","FastTree"
"MB",5,2,3,0,0.142857142857143,0.6,"locrisk527.3","FastTree"
"NR",7,2,5,1,0.2,0.714285714285714,"locrisk527.3","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk527.3","FastTree"
"PI",3,2,1,0,0.125,0.333333333333333,"locrisk527.3","FastTree"
"SH",9,4,5,9,0.2,0.555555555555556,"locrisk527.3","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.3","FastTree"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk574.1","FastTree"
"NR",7,2,5,3.5,0.2,0.714285714285714,"locrisk574.1","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk574.1","FastTree"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk574.1","FastTree"
"SH",7,3,4,5.5,0.2,0.571428571428571,"locrisk574.1","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk574.1","FastTree"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk574.2","FastTree"
"NR",6,1,5,1,0.2,0.833333333333333,"locrisk574.2","FastTree"
"OT",2,2,0,0,0.125,0,"locrisk574.2","FastTree"
"PI",2,1,1,0,0.125,0.5,"locrisk574.2","FastTree"
"SH",6,2,4,4,0.2,0.666666666666667,"locrisk574.2","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk574.2","FastTree"
"MB",4,2,2,0,0.142857142857143,0.5,"locrisk574.3","FastTree"
"NR",6,1,5,3,0.2,0.833333333333333,"locrisk574.3","FastTree"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk574.3","FastTree"
"PI",2,1,1,0,0.125,0.5,"locrisk574.3","FastTree"
"SH",8,4,4,11,0.2,0.5,"locrisk574.3","FastTree"
"SM",3,3,0,0,0.142857142857143,0,"locrisk574.3","FastTree"
"MB",1,1,0,0,0.111111111111111,0,"locrisk260.1","IQ-TREE"
"NR",7,2,5,3,0.2,0.714285714285714,"locrisk260.1","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk260.1","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk260.1","IQ-TREE"
"SH",6,2,4,1,0.166666666666667,0.666666666666667,"locrisk260.1","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk260.1","IQ-TREE"
"MB",1,1,0,0,0.111111111111111,0,"locrisk260.2","IQ-TREE"
"NR",7,2,5,4,0.2,0.714285714285714,"locrisk260.2","IQ-TREE"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk260.2","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk260.2","IQ-TREE"
"SH",7,3,4,5,0.166666666666667,0.571428571428571,"locrisk260.2","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk260.2","IQ-TREE"
"MB",2,2,0,0,0.125,0,"locrisk260.3","IQ-TREE"
"NR",7,2,5,1.5,0.2,0.714285714285714,"locrisk260.3","IQ-TREE"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk260.3","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk260.3","IQ-TREE"
"SH",8,3,5,5.5,0.2,0.625,"locrisk260.3","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk260.3","IQ-TREE"
"MB",2,1,1,0,0.125,0.5,"locrisk378.1","IQ-TREE"
"NR",7,2,5,3,0.2,0.714285714285714,"locrisk378.1","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk378.1","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk378.1","IQ-TREE"
"SH",7,3,4,5,0.2,0.571428571428571,"locrisk378.1","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk378.1","IQ-TREE"
"MB",1,1,0,0,0.111111111111111,0,"locrisk378.2","IQ-TREE"
"NR",7,2,5,4,0.2,0.714285714285714,"locrisk378.2","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk378.2","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk378.2","IQ-TREE"
"SH",5,2,3,1,0.166666666666667,0.6,"locrisk378.2","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk378.2","IQ-TREE"
"MB",2,2,0,0,0.125,0,"locrisk378.3","IQ-TREE"
"NR",7,2,5,2.5,0.2,0.714285714285714,"locrisk378.3","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk378.3","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk378.3","IQ-TREE"
"SH",6,2,4,1.5,0.2,0.666666666666667,"locrisk378.3","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk378.3","IQ-TREE"
"MB",1,1,0,0,0.111111111111111,0,"locrisk468.1","IQ-TREE"
"NR",7,2,5,3,0.2,0.714285714285714,"locrisk468.1","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk468.1","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk468.1","IQ-TREE"
"SH",6,2,4,1,0.166666666666667,0.666666666666667,"locrisk468.1","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk468.1","IQ-TREE"
"MB",2,1,1,0,0.111111111111111,0.5,"locrisk468.2","IQ-TREE"
"NR",9,4,5,10.5,0.2,0.555555555555556,"locrisk468.2","IQ-TREE"
"OT",4,2,2,0,0.125,0.5,"locrisk468.2","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk468.2","IQ-TREE"
"SH",6,3,3,1.5,0.166666666666667,0.5,"locrisk468.2","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk468.2","IQ-TREE"
"MB",1,1,0,0,0.111111111111111,0,"locrisk468.3","IQ-TREE"
"NR",7,2,5,4,0.2,0.714285714285714,"locrisk468.3","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk468.3","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk468.3","IQ-TREE"
"SH",5,2,3,1,0.166666666666667,0.6,"locrisk468.3","IQ-TREE"
"SM",2,2,0,0,0.125,0,"locrisk468.3","IQ-TREE"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk527.1","IQ-TREE"
"NR",7,2,5,2.5,0.2,0.714285714285714,"locrisk527.1","IQ-TREE"
"OT",2,2,0,0,0.125,0,"locrisk527.1","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk527.1","IQ-TREE"
"SH",6,2,4,1.5,0.2,0.666666666666667,"locrisk527.1","IQ-TREE"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.1","IQ-TREE"
"MB",4,2,2,0,0.142857142857143,0.5,"locrisk527.2","IQ-TREE"
"NR",8,3,5,5.5,0.2,0.625,"locrisk527.2","IQ-TREE"
"OT",4,2,2,0,0.125,0.5,"locrisk527.2","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk527.2","IQ-TREE"
"SH",8,4,4,5.5,0.2,0.5,"locrisk527.2","IQ-TREE"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.2","IQ-TREE"
"MB",2,1,1,0,0.125,0.5,"locrisk527.3","IQ-TREE"
"NR",7,2,5,6,0.2,0.714285714285714,"locrisk527.3","IQ-TREE"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk527.3","IQ-TREE"
"PI",3,1,2,0,0.125,0.666666666666667,"locrisk527.3","IQ-TREE"
"SH",6,3,3,5,0.166666666666667,0.5,"locrisk527.3","IQ-TREE"
"SM",3,3,0,0,0.142857142857143,0,"locrisk527.3","IQ-TREE"
"MB",3,1,2,0,0.125,0.666666666666667,"locrisk574.1","IQ-TREE"
"NR",8,3,5,7,0.2,0.625,"locrisk574.1","IQ-TREE"
"OT",3,2,1,0,0.125,0.333333333333333,"locrisk574.1","IQ-TREE"
"PI",4,2,2,0,0.125,0.5,"locrisk574.1","IQ-TREE"
"SH",7,3,4,5,0.166666666666667,0.571428571428571,"locrisk574.1","IQ-TREE"
"SM",3,3,0,0,0.142857142857143,0,"locrisk574.1","IQ-TREE"
"MB",3,2,1,0,0.142857142857143,0.333333333333333,"locrisk574.2","IQ-TREE"
