"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"OT",4,2,2,0.5,0.333333333333333,0.5,"locrisk260.1","FastTree"
"PI",3,1,2,0,0.25,0.666666666666667,"locrisk260.1","FastTree"
"SH",5,2,3,1.5,0.333333333333333,0.6,"locrisk260.1","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk260.1","FastTree"
"OT",4,2,2,0.5,0.333333333333333,0.5,"locrisk260.2","FastTree"
"PI",3,1,2,0,0.25,0.666666666666667,"locrisk260.2","FastTree"
"SH",5,2,3,1.5,0.333333333333333,0.6,"locrisk260.2","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk260.2","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk260.3","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk260.3","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk260.3","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk260.3","FastTree"
"OT",4,2,2,0.5,0.333333333333333,0.5,"locrisk378.1","FastTree"
"PI",3,1,2,0,0.25,0.666666666666667,"locrisk378.1","FastTree"
"SH",5,2,3,1.5,0.333333333333333,0.6,"locrisk378.1","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk378.1","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk378.2","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk378.2","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk378.2","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk378.2","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk378.3","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk378.3","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk378.3","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk378.3","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.1","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk468.1","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.1","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk468.1","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.2","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk468.2","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.2","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk468.2","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.3","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk468.3","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk468.3","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk468.3","FastTree"
"OT",5,2,3,1.5,0.333333333333333,0.6,"locrisk527.1","FastTree"
"PI",3,1,2,0,0.25,0.666666666666667,"locrisk527.1","FastTree"
"SH",4,2,2,0.5,0.333333333333333,0.5,"locrisk527.1","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk527.1","FastTree"
"OT",5,2,3,0.5,0.333333333333333,0.6,"locrisk527.2","FastTree"
"PI",4,2,2,0,0.25,0.5,"locrisk527.2","FastTree"
"SH",5,2,3,0.5,0.333333333333333,0.6,"locrisk527.2","FastTree"
"SM",2,2,0,0,0.25,0,"locrisk527.2","FastTree"
"OT",4,1,3,0,0.333333333333333,0.75,"locrisk527.3","FastTree"
"PI",3,2,1,0,0.25,0.333333333333333,"locrisk527.3","FastTree"
