"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"Eastern Africa",9,2,7,12.5,0.0526315789473684,0.777777777777778,"locrisk260.1","FastTree"
"Eastern Asia",2,1,1,1,0.03125,0.5,"locrisk260.1","FastTree"
"Eastern Europe",2,1,1,3,0.04,0.5,"locrisk260.1","FastTree"
"Northern America",2,2,0,0,0.0416666666666667,0,"locrisk260.1","FastTree"
"Northern Europe",4,2,2,0.5,0.0434782608695652,0.5,"locrisk260.1","FastTree"
"South America",2,1,1,0,0.0344827586206897,0.5,"locrisk260.1","FastTree"
"South-Eastern Asia",2,2,0,0,0.0303030303030303,0,"locrisk260.1","FastTree"
"Southern Africa",8,1,7,10,0.0588235294117647,0.875,"locrisk260.1","FastTree"
"Southern Asia",3,1,2,3,0.0416666666666667,0.666666666666667,"locrisk260.1","FastTree"
"Southern Europe",3,2,1,1,0.0357142857142857,0.333333333333333,"locrisk260.1","FastTree"
"Western Africa",3,3,0,0,0.0434782608695652,0,"locrisk260.1","FastTree"
"Western Asia",2,2,0,0,0.0344827586206897,0,"locrisk260.1","FastTree"
"Western Europe",2,2,0,0,0.0384615384615385,0,"locrisk260.1","FastTree"
"Eastern Africa",9,2,7,14.5,0.0555555555555556,0.777777777777778,"locrisk260.2","FastTree"
"Eastern Asia",2,1,1,2,0.0303030303030303,0.5,"locrisk260.2","FastTree"
"Eastern Europe",2,1,1,3,0.04,0.5,"locrisk260.2","FastTree"
"Northern America",1,1,0,0,0.0344827586206897,0,"locrisk260.2","FastTree"
"Northern Europe",5,2,3,3,0.0454545454545455,0.6,"locrisk260.2","FastTree"
"South America",3,1,2,2.5,0.0384615384615385,0.666666666666667,"locrisk260.2","FastTree"
"South-Eastern Asia",2,2,0,0,0.032258064516129,0,"locrisk260.2","FastTree"
"Southern Africa",6,2,4,15,0.05,0.666666666666667,"locrisk260.2","FastTree"
"Southern Asia",3,1,2,5,0.0384615384615385,0.666666666666667,"locrisk260.2","FastTree"
"Southern Europe",3,2,1,1,0.0384615384615385,0.333333333333333,"locrisk260.2","FastTree"
"Western Africa",2,2,0,0,0.037037037037037,0,"locrisk260.2","FastTree"
"Western Asia",2,2,0,0,0.037037037037037,0,"locrisk260.2","FastTree"
"Western Europe",2,2,0,0,0.0357142857142857,0,"locrisk260.2","FastTree"
"Eastern Africa",11,3,8,25.5,0.0588235294117647,0.727272727272727,"locrisk260.3","FastTree"
"Eastern Asia",3,1,2,11,0.04,0.666666666666667,"locrisk260.3","FastTree"
"Eastern Europe",2,1,1,4,0.0416666666666667,0.5,"locrisk260.3","FastTree"
"Northern America",1,1,0,0,0.0357142857142857,0,"locrisk260.3","FastTree"
"Northern Europe",7,3,4,19.6666666666667,0.0526315789473684,0.571428571428571,"locrisk260.3","FastTree"
"South America",3,1,2,0,0.0434782608695652,0.666666666666667,"locrisk260.3","FastTree"
"South-Eastern Asia",2,2,0,0,0.0333333333333333,0,"locrisk260.3","FastTree"
"Southern Africa",10,3,7,21.6666666666667,0.0625,0.7,"locrisk260.3","FastTree"
"Southern Asia",4,2,2,6.66666666666667,0.05,0.5,"locrisk260.3","FastTree"
"Southern Europe",4,3,1,0.5,0.0454545454545455,0.25,"locrisk260.3","FastTree"
"Western Africa",3,3,0,0,0.0434782608695652,0,"locrisk260.3","FastTree"
"Western Asia",3,2,1,0,0.0416666666666667,0.333333333333333,"locrisk260.3","FastTree"
"Western Europe",3,3,0,0,0.0434782608695652,0,"locrisk260.3","FastTree"
"Eastern Africa",10,3,7,30,0.0526315789473684,0.7,"locrisk378.1","FastTree"
"Eastern Asia",2,1,1,1,0.0333333333333333,0.5,"locrisk378.1","FastTree"
"Eastern Europe",2,1,1,5,0.0416666666666667,0.5,"locrisk378.1","FastTree"
"Northern America",1,1,0,0,0.0333333333333333,0,"locrisk378.1","FastTree"
"Northern Europe",6,3,3,11,0.05,0.5,"locrisk378.1","FastTree"
"South America",3,1,2,0,0.0434782608695652,0.666666666666667,"locrisk378.1","FastTree"
"South-Eastern Asia",2,2,0,0,0.03125,0,"locrisk378.1","FastTree"
"Southern Africa",9,2,7,23.5,0.0625,0.777777777777778,"locrisk378.1","FastTree"
"Southern Asia",3,1,2,5,0.0454545454545455,0.666666666666667,"locrisk378.1","FastTree"
"Southern Europe",4,3,1,0.5,0.0454545454545455,0.25,"locrisk378.1","FastTree"
"Western Africa",3,3,0,0,0.0434782608695652,0,"locrisk378.1","FastTree"
"Western Asia",3,2,1,0,0.0384615384615385,0.333333333333333,"locrisk378.1","FastTree"
"Western Europe",2,2,0,0,0.04,0,"locrisk378.1","FastTree"
"Eastern Africa",10,2,8,15,0.0625,0.8,"locrisk378.2","FastTree"
"Eastern Asia",2,1,1,1,0.0344827586206897,0.5,"locrisk378.2","FastTree"
"Eastern Europe",1,1,0,0,0.037037037037037,0,"locrisk378.2","FastTree"
"Northern America",1,1,0,0,0.037037037037037,0,"locrisk378.2","FastTree"
"Northern Europe",7,3,4,12.5,0.0555555555555556,0.571428571428571,"locrisk378.2","FastTree"
"South America",3,1,2,3,0.0416666666666667,0.666666666666667,"locrisk378.2","FastTree"
"South-Eastern Asia",2,2,0,0,0.04,0,"locrisk378.2","FastTree"
"Southern Africa",9,2,7,13,0.0625,0.777777777777778,"locrisk378.2","FastTree"
"Southern Asia",4,2,2,4,0.05,0.5,"locrisk378.2","FastTree"
"Southern Europe",4,3,1,0.5,0.0476190476190476,0.25,"locrisk378.2","FastTree"
"Western Africa",3,3,0,0,0.0454545454545455,0,"locrisk378.2","FastTree"
"Western Asia",2,2,0,0,0.0416666666666667,0,"locrisk378.2","FastTree"
"Western Europe",2,2,0,0,0.04,0,"locrisk378.2","FastTree"
"Eastern Africa",8,2,6,8.5,0.0526315789473684,0.75,"locrisk378.3","FastTree"
"Eastern Asia",3,1,2,1,0.0416666666666667,0.666666666666667,"locrisk378.3","FastTree"
"Eastern Europe",2,1,1,4,0.0416666666666667,0.5,"locrisk378.3","FastTree"
"Northern America",1,1,0,0,0.0333333333333333,0,"locrisk378.3","FastTree"
"Northern Europe",9,4,5,22.5,0.0588235294117647,0.555555555555556,"locrisk378.3","FastTree"
"South America",3,1,2,1,0.0434782608695652,0.666666666666667,"locrisk378.3","FastTree"
